price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,age
4000,22,6949,0,3,2,118500.0,0,0,1,0,9,2,18.0
16995,30,701,2,5,0,208129.0,0,0,0,1,8,1,15.0
8975,6,8650,0,6,2,174098.0,0,0,0,1,0,0,13.0
10000,10,3852,0,6,2,181000.0,0,0,0,1,10,9,14.0
17999,11,7919,0,6,0,101959.0,0,0,0,1,10,10,12.0
5775,6,2454,0,4,2,151000.0,0,0,0,2,8,9,16.0
12500,6,6054,0,3,2,44848.0,0,0,1,2,9,0,5.0
4750,3,573,0,5,2,127777.0,0,0,0,0,9,9,14.0
10950,17,5242,3,5,2,126226.0,0,0,0,1,0,10,8.0
5500,10,3991,0,6,2,111000.0,0,0,2,1,10,4,18.0
16649,11,9949,0,6,2,86452.0,0,0,0,1,0,0,10.0
15900,10,3536,0,3,2,19764.0,0,0,0,2,0,0,4.0
5500,8,2893,1,5,2,107000.0,0,0,0,2,10,8,13.0
18600,11,9576,2,6,2,138164.0,0,0,2,1,10,10,12.0
28200,10,4112,0,6,0,129000.0,0,0,0,1,10,0,8.0
2000,13,2322,2,3,2,216875.0,0,0,1,0,3,8,18.0
22425,3,902,0,3,2,46351.0,0,0,0,2,9,0,4.0
22914,3,9730,0,5,2,69686.0,0,0,0,2,0,10,5.0
19900,10,3852,0,5,2,79657.0,0,0,0,1,10,9,7.0
34900,10,4047,0,6,2,31095.0,0,0,0,1,10,10,3.0
21500,8,327,0,6,2,69852.0,0,0,0,1,10,0,9.0
3900,13,2296,0,3,2,176000.0,0,0,1,0,3,8,13.0
8900,18,6565,0,3,2,90143.0,0,0,1,2,9,0,6.0
19600,21,6243,0,3,2,27195.0,0,0,0,2,9,3,4.0
5300,8,2190,2,6,2,156000.0,0,0,2,1,9,10,10.0
22900,11,7848,0,6,2,85190.0,0,0,0,1,10,3,5.0
14685,35,8721,0,5,2,145671.0,0,0,0,2,10,0,9.0
12981,17,2469,0,3,2,58983.0,0,0,0,2,0,10,5.0
24869,11,7848,0,6,2,82056.0,0,0,0,1,10,0,5.0
5995,13,6531,0,5,2,11090.0,0,0,1,1,11,8,14.0
7800,6,9226,2,5,2,157000.0,0,0,0,1,0,1,8.0
12500,5,3507,0,6,2,159000.0,0,0,0,1,0,0,11.0
4975,13,6531,0,5,2,205000.0,0,0,1,2,5,2,13.0
9900,25,2511,0,3,2,76000.0,0,1,1,2,0,1,7.0
1250,10,3589,1,3,2,190300.0,0,0,0,2,0,11,17.0
4450,10,3739,2,5,2,136000.0,0,0,0,2,0,2,15.0
749,26,5098,1,3,2,199500.0,0,0,1,2,9,9,17.0
2795,36,5584,2,3,2,178950.0,0,1,1,2,9,9,17.0
8650,14,8941,3,5,2,30794.0,0,0,1,0,3,9,12.0
500,35,2537,3,3,2,226980.0,0,0,1,0,9,1,16.0
10500,3,616,2,5,2,89000.0,0,0,0,1,12,3,10.0
8490,14,7633,3,5,2,91000.0,5,0,0,1,0,2,9.0
2800,10,3536,0,5,2,177000.0,0,0,1,2,0,10,14.0
6000,30,176,2,6,2,216000.0,0,0,0,1,10,0,16.0
4950,10,3820,2,5,2,162000.0,0,0,2,1,8,10,8.0
2875,28,6282,2,5,2,79703.0,0,0,1,1,5,8,20.0
10500,10,4086,2,6,0,220000.0,0,0,2,1,10,10,16.0
2750,13,2322,2,3,2,200.0,0,1,1,1,9,0,14.0
7995,17,5229,0,5,2,104613.0,0,0,0,2,0,9,12.0
2400,7,6966,0,3,2,137128.0,0,0,1,1,4,10,14.0
3700,20,7427,2,5,2,146331.0,0,0,0,1,0,10,19.0
22500,10,4047,2,6,2,128415.0,0,0,0,1,10,4,7.0
9995,7,9061,0,5,2,81999.0,0,0,1,1,11,10,7.0
2300,21,9083,0,6,2,96020.0,0,0,2,1,9,10,20.0
3000,36,6753,2,3,2,116.0,0,0,1,0,12,5,13.0
6100,35,1540,2,5,2,84500.0,0,0,1,1,9,5,12.0
5850,27,6337,0,5,2,134000.0,0,0,0,2,0,3,11.0
35975,10,9146,3,5,2,2466.0,0,0,2,1,11,10,1.0
5500,6,8818,2,6,2,180000.0,0,0,0,1,0,9,14.0
4350,33,5500,0,3,2,128000.0,0,0,0,0,12,1,13.0
25800,35,8721,3,5,2,49900.0,0,0,0,2,8,10,5.0
9500,31,8493,2,6,2,110000.0,0,0,0,1,0,1,13.0
6500,10,4009,2,6,2,113000.0,0,0,0,1,8,10,11.0
3995,13,2332,0,3,2,90311.0,0,0,1,0,9,9,23.0
1500,17,5229,2,5,2,185000.0,0,0,0,1,0,0,19.0
2000,18,6565,2,3,2,183000.0,0,0,1,2,9,8,14.0
600,7,2487,2,5,2,106000.0,0,0,1,1,9,9,20.0
5700,6,8030,2,6,2,105000.0,0,0,0,1,8,9,18.0
18500,11,7900,0,6,2,113500.0,1,0,0,1,10,5,13.0
6200,27,6774,3,5,2,154000.0,0,0,0,1,0,5,13.0
3700,27,7357,2,3,2,174902.0,0,0,2,1,0,0,11.0
13499,10,4181,2,5,2,125800.0,0,0,0,1,8,4,6.0
24399,30,40,0,6,2,97321.0,0,0,0,1,8,8,7.0
9000,10,4086,2,6,0,108000.0,0,0,0,1,10,4,14.0
3750,17,5240,1,5,2,131800.0,0,0,0,1,0,5,13.0
8000,3,10014,3,5,2,72600.0,0,1,2,0,2,0,17.0
4995,10,4086,2,6,2,167666.0,0,0,2,1,8,10,11.0
4000,11,8631,2,6,2,100000.0,0,0,0,1,0,10,23.0
2800,7,7706,2,5,2,113633.0,0,0,1,2,2,9,16.0
7995,8,5192,2,5,2,128000.0,0,0,1,1,5,5,7.0
6300,3,9701,2,5,2,104644.0,0,0,0,2,0,9,14.0
7995,33,4790,2,3,2,112000.0,0,0,0,1,0,1,9.0
3495,0,6148,2,5,2,203000.0,0,0,0,1,0,4,17.0
3900,3,9701,2,5,2,179430.0,0,0,0,1,0,0,16.0
11500,3,978,0,5,2,64372.0,1,2,0,2,9,10,5.0
9100,18,8413,2,3,2,100100.0,0,0,0,2,0,9,6.0
29899,10,3097,2,6,2,39626.0,0,0,2,1,10,10,2.0
6500,23,1665,0,6,2,225000.0,0,0,2,2,9,0,15.0
8977,18,8413,0,3,2,85415.0,0,0,1,1,0,9,7.0
9788,6,6054,0,3,2,110622.0,0,0,1,2,9,5,5.0
18675,30,40,2,6,2,86115.0,0,0,0,1,10,10,5.0
8675,4,3359,2,5,2,158996.0,0,0,1,1,0,2,8.0
4600,14,7630,2,3,2,115500.0,0,1,1,2,0,10,10.0
14975,35,838,2,5,2,78705.0,0,0,2,1,0,9,12.0
20675,10,3536,2,3,2,16211.0,0,0,0,1,0,0,1.0
19675,11,7919,2,6,2,202263.0,0,0,0,1,10,5,12.0
14000,10,3917,2,5,2,165000.0,0,0,0,1,10,10,8.0
27500,8,2203,3,6,2,38000.0,0,0,2,1,9,1,4.0
